product_id,product_name,category,price,discount,average_rating,num_reviews,review_variance,description_keywords,title_similarity,image_quality_score,seller_id,seller_rating,seller_tenure_months,return_rate,shipping_time_days,complaint_count,verified_seller,price_to_market_avg_ratio,rating_to_review_ratio,discount_rating_correlation,genuine_label
P0001,Nova Smartwatch Pro,Electronics,4521.34,18.45,4.32,287,0.84,authentic genuine,0.892,0.876,S0001,4.56,42,3.21,3,2,1,0.904268,0.015052,79.7,1
P0002,Zara Cotton Shirt,Fashion,892.15,12.3,4.67,156,0.62,premium warranty,0.941,0.923,S0002,4.78,38,2.14,2,1,1,0.17843,0.029936,57.44,1
P0003,Elite Home Blender,Home,3245.89,22.15,3.89,412,1.23,original sealed,0.823,0.782,S0003,4.12,29,5.67,4,3,1,0.649178,0.009442,86.16,1
P0004,Glow Beauty Serum,Beauty,1567.42,8.9,4.78,523,0.45,authentic premium,0.967,0.945,S0004,4.89,51,1.23,2,0,1,0.313484,0.009141,42.54,1
P0005,Kidz Robot Toy,Toys,678.23,15.6,4.21,198,0.78,genuine warranty,0.887,0.861,S0005,4.34,33,3.45,3,2,1,0.135646,0.021263,65.68,1
P0006,Fresh Organic Honey,Grocery,423.56,5.4,4.56,89,0.34,authentic original,0.912,0.897,S0006,4.67,44,1.89,2,1,1,0.084712,0.051236,24.62,1
P0007,TechPro Laptop Stand,Electronics,2134.67,28.75,3.45,267,1.45,discounted limited,0.734,0.698,S0007,3.67,18,8.34,6,5,1,0.426934,0.012921,99.19,1
P0008,StyleMax Denim Jeans,Fashion,1245.89,19.2,4.12,324,0.89,premium imported,0.856,0.823,S0008,4.23,27,4.21,4,3,1,0.249178,0.012716,79.1,1
P0009,Comfort Pillow Set,Home,987.34,11.45,4.89,412,0.56,genuine sealed,0.923,0.912,S0009,4.91,48,1.67,2,1,1,0.197468,0.011869,55.99,1
P0010,Radiance Face Cream,Beauty,2345.12,14.3,4.34,589,0.67,premium warranty,0.901,0.887,S0010,4.56,39,2.89,3,2,1,0.469024,0.007368,62.06,1
P0011,PlayMax Building Blocks,Toys,534.78,9.8,4.67,145,0.43,authentic original,0.934,0.921,S0011,4.78,42,2.12,2,1,1,0.106956,0.032207,45.77,1
P0012,Premium Basmati Rice,Grocery,756.23,6.7,4.45,67,0.38,genuine premium,0.897,0.876,S0012,4.34,36,2.45,3,1,1,0.151246,0.066418,29.82,1
P0013,Smart LED TV 55inch,Electronics,18765.43,45.6,2.89,534,1.78,replica discounted,0.623,0.512,S0013,2.67,12,18.45,9,12,0,3.753086,0.005412,131.81,0
P0014,Trendy Leather Jacket,Fashion,5432.18,52.3,2.34,412,1.89,refurbished limited,0.567,0.487,S0014,2.45,8,22.67,11,15,0,1.086436,0.00568,122.41,0
P0015,Kitchen Mixer Grinder,Home,3456.78,33.45,3.67,298,1.34,discounted warranty,0.756,0.712,S0015,3.56,21,9.23,5,6,1,0.691356,0.012315,122.76,1
P0016,Silk Hair Conditioner,Beauty,876.45,7.8,4.56,234,0.52,authentic sealed,0.923,0.901,S0016,4.67,41,1.98,2,1,1,0.17529,0.019487,35.56,1
